Error during initialization.;Fehler bei der Initialisierung
Is triggered if DI- changes direction downwards;Wird ausgelöst, wenn DI- die Richtung nach unten ändert
(DI-) DI- changes direction downwards;(DI-) DI- ändert die Richtung nach unten
DI-(#Period#) changes direction downwards;DI-(#Period#) ändert die Richtung nach unten
Is triggered if DI- changes direction upwards;Wird ausgelöst, wenn DI- die Richtung nach oben ändert
(DI-) DI- changes direction upwards;(DI-) DI- ändert die Richtung nach oben
DI-(#Period#) changes direction upwards;DI-(#Period#) ändert die Richtung nach oben
Is triggered if DI- is falling;Wird ausgelöst, wenn DI- fällt
(DI-) DI- is falling;(DI-) DI- fällt
DI-(#Period#) is falling;DI-(#Period#) fällt
Is triggered if DI- is rising;Wird ausgelöst, wenn DI- steigt
(DI-) DI- is rising;(DI-) DI- steigt
DI-(#Period#) is rising;DI-(#Period#) steigt
Is triggered if DI+ changes direction downwards;Wird ausgelöst, wenn DI+ die Richtung nach unten ändert
(DI+) DI+ changes direction downwards;(DI+) DI+ ändert die Richtung nach unten
DI+(#Period#) changes direction downwards;DI+(#Period#) ändert die Richtung nach unten
Is triggered if DI+ changes direction upwards;Wird ausgelöst, wenn DI+ die Richtung nach oben ändert
(DI+) DI+ changes direction upwards;(DI+) DI+ ändert die Richtung nach oben
DI+(#Period#) changes direction upwards;DI+(#Period#) ändert die Richtung nach oben
Is triggered if DI+ is falling;Wird ausgelöst, wenn DI+ fällt
(DI+) DI+ is falling;(DI+) DI+ fällt
DI+(#Period#) is falling;DI+(#Period#) fällt
(DI+) DI+ is higher than DI-;(DI+) DI+ ist höher als DI-
DI+(#Period#) > DI-(#Period#);DI+(#Period#) > DI-(#Period#)
(DI+) DI+ is lower than DI-;(DI+) DI+ ist niedriger als DI-
DI+(#Period#) < DI-(#Period#);DI+(#Period#) < DI-(#Period#)
Is triggered if DI+ is rising;Wird ausgelöst, wenn DI+ steigt
(DI+) DI+ is rising;(DI+) DI+ steigt
DI+(#Period#) is rising;DI+(#Period#) steigt
Choose range of Fibo indicator;Reichweite des Fibo-Indikators wählen
Only for some of Fibo ranges - select value of X here;Nur für einige der Fibo-Bereiche - wähle hier den Wert von X aus
(FIB) Fibo;(FIB) Fibo
Fibo;Fibo
(H) Bar opens above Highest after opened below;(H) Kerze öffnet über dem Höchstwert, nachdem sie darunter öffnete
Bar opens above Highest(#Period#) after opened below;Kerze öffnetüber dem Höchstwert(#Period#) nachdem sie darunter öffnete
(L) Bar opens above Lowest after opened below;(L) Kerze öffnet über dem Tiefstwert, nachdem sie darunter öffnete
Bar opens above Lowest(#Period#) after opened below;Kerze öffnet über dem Tiefstwert(#Period#) nachdem sie darunter öffnete
(H) Bar opens below Highest band after opened above;(H) Kerze öffnet unter dem Höchstwert-Band, nachdem sie darüber öffnete
Bar opens below Highest(#Period#) after opened above;Kerze öffnet unter dem Höchstwert(#Period#) nachdem sie darüber öffnete
(L) Bar opens below Lowest after opened above;(L) Kerze öffnet unter dem Tiefstwert, nachdem sie darüber öffnete
Bar opens below Lowest(#Period#) after opened above;Kerze öffnet unter dem Tiefstwert(#Period#) nachdem sie darüber öffnete
Returns highest value of given period of bars;Gibt den höchsten Wert der gegebenen Kerzenperiode zurück
Highest(#Period#)[#Shift#];Höchstwert(#Period#)[#Shift#]
returns shift of the bar with highest value from the bars of given type;Gibt den Versatz der Kerze mit dem höchsten Wert der Kerzen des gegebenen Typs zurück
(HI) Highest index;(HI) Höchstwert-Index
HighestIndex(#Period#);HighestIndex(#Period#)
Returns lowest value of given period of bars;Gibt den niedrigsten Wert der gegebenen Kerzenperiode zurück
Lowest(#Period#)[#Shift#];Tiefstwert(#Period#)[#Shift#]
returns shift of the bar with lowest value from the bars of given type;Gibt den Versatz der Kerze mit dem niedrigsten Wert der Kerzen des gegebenen Typs zurück
(LI) Lowest index;(LI) Tiefstwert-Index
LowestIndex(#Period#);LowestIndex(#Period#)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#)[#Shift#];Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#)[#Shift#]
Tenkan;Tenkan
Kijun;Kijun
Senkou;Senkou
(Ichimoku) Chikou Span cross bearish;(Ichimoku) Chikou Span Kreuzung (bearish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Chikou Span cross bearish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Chikou Span Kreuzung (bearish)
Signal strength (at least);Signalstärke (mindestens)
(Ichimoku) Chikou Span cross bullish;(Ichimoku) Chikou Span Kreuzung (bullish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Chikou Span cross bullish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Chikou Span Kreuzung (bullish)
(Ichimoku) price crosses KijunSen bearish;(Ichimoku) Preis kreuzt KijunSen (bearish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) price crosses KijunSen bearish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Preis kreuzt KijunSen (bearish)
(Ichimoku) price crosses KijunSen bullish;(Ichimoku) Preis kreuzt KijunSen (bullish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) price crosses KijunSen bullish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Preis kreuzt KijunSen (bullish)
(Ichimoku) Kumo breakout bearish;(Ichimoku) Kumo-Breakout (bearish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Kumo breakout bearish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Kumo-Breakout (bearish)
(Ichimoku) Kumo breakout bullish;(Ichimoku) Kumo-Breakout (bullish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Kumo breakout bullish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Kumo-Breakout (bullish)
(Ichimoku) Senkou Span cross bearish;(Ichimoku) Senkou Span Kreuzung (bearish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Senkou Span cross bearish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Senkou Span Kreuzung (bearish)
(Ichimoku) Senkou Span cross bullish;(Ichimoku) Senkou Span Kreuzung (bullish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Senkou Span cross bullish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) Senkou Span Kreuzung (bullish)
(Ichimoku) TenkanSen crosses KijunSen bearish ;(Ichimoku) TenkanSen kreuzt KijunSen (bearish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) TenkanSen crosses KijunSen bearish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) TenkanSen kreuzt KijunSen (bearish)
(Ichimoku) TenkanSen crosses KijunSen bullish;(Ichimoku) TenkanSen kreuzt KijunSen (bullish)
Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) TenkanSen crosses KijunSen bullish;Ichimoku(#TenkanPeriod#,#KijunPeriod#,#SenkouPeriod#) TenkanSen kreuzt KijunSen (bullish)
Signal strength;Signalstärke
Is triggered if Bar closes above KC Lower band;Wird ausgelöst, wenn die Kerze über dem unteren KC-Band schließt
(KC) Bar closes above Lower band;(KC) Kerze schließt über dem unteren Band
Bar closes above Keltner Channel(#Period#, #Deviation#).Lower;Kerze schließt über Keltner Channel(#Period#, #Deviation#).Lower
Is triggered if Bar closes above KC Upper band;Wird ausgelöst, wenn die Kerze über dem oberen KC-Band schließt
(KC) Bar closes above Upper band;(KC) Kerze schließt über dem oberen Band
Bar closes above Keltner Channel(#Period#, #Deviation#).Upper;Kerze schließt über Keltner Channel(#Period#, #Deviation#).Upper
Is triggered if Bar closes below KC Lower band;Wird ausgelöst, wenn die Kerze unter dem unteren KC-Band schließt
(KC) Bar closes below Lower band;(KC) Kerze schließt unter dem unteren Band
Bar closes below Keltner Channel(#Period#, #Deviation#).Lower;Kerze schließt unter Keltner Channel(#Period#, #Deviation#).Lower
Is triggered if Bar closes below KC Upper band;Wird ausgelöst, wenn die Kerze unter dem oberen KC-Band schließt
(KC) Bar closes below Upper band;(KC) Kerze schließt unter dem oberen Band
Bar closes below Keltner Channel(#Period#, #Deviation#).Upper;Kerze schließt unter Keltner Channel(#Period#, #Deviation#).Upper
Is triggered if Bar opens above KC Lower band;Wird ausgelöst, wenn die Kerze über dem unteren KC-Band öffnet
(KC) Bar opens above Lower band;(KC) Kerze öffnet über dem unteren Band
Bar opens above Keltner Channel(#Period#, #Deviation#).Lower;Kerze öffnet über Keltner Channel(#Period#, #Deviation#).Lower
Is triggered if Bar opens above KC Lower band after opened below;Wird ausgelöst, wenn die Kerze über dem unteren KC-Band öffnet, nachdem sie darunter öffnete
(KC) Bar opens above Lower band after opened below;(KC) Kerze öffnet über dem unteren Band, nachdem sie darunter öffnete
Bar opens above Keltner Channel(#Period#, #Deviation#).Lower after opened below;Kerze öffnet über Keltner Channel(#Period#, #Deviation#).Lower nachdem sie darunter öffnete
Is triggered if Bar opens above KC Upper band;Wird ausgelöst, wenn die Kerze über dem oberen KC-Band öffnet
(KC) Bar opens above Upper band;(KC) Kerze öffnet über dem oberen Band
Bar opens above Keltner Channel(#Period#, #Deviation#).Upper;Kerze öffnet über Keltner Channel(#Period#, #Deviation#).Upper
Is triggered if Bar opens above KC Upper band after opened below;Wird ausgelöst, wenn die Kerze über dem oberen KC-Band öffnet, nachdem sie darunter öffnete
(KC) Bar opens above Upper band after opened below;(KC) Kerze öffnet über dem oberen Band, nachdem sie darunter öffnete
Bar opens above Keltner Channel(#Period#, #Deviation#).Upper after opened below;Kerze öffnet über Keltner Channel(#Period#, #Deviation#).Upper nachdem sie darunter öffnete
Is triggered if Bar opens below KC Lower band;Wird ausgelöst, wenn die Kerze unter dem unteren KC-Band öffnet
(KC) Bar opens below Lower band;(KC) Kerze öffnet unter dem unteren Band
Bar opens below Keltner Channel(#Period#, #Deviation#).Lower;Kerze öffnet unter Keltner Channel(#Period#, #Deviation#).Lower
Is triggered if Bar opens below KC Lower band after opened above;Wird ausgelöst, wenn die Kerze unter dem unteren KC-Band öffnet, nachdem sie darüber öffnete
(KC) Bar opens below Lower band after opened above;(KC) Kerze öffnet unter dem unteren Band, nachdem sie darüber öffnete
Bar opens below Keltner Channel(#Period#, #Deviation#).Lower after opened above;Kerze öffnet unter Keltner Channel(#Period#, #Deviation#).Lower nachdem sie darüber öffnete
Is triggered if Bar opens below KC Upper band;Wird ausgelöst, wenn die Kerze unter dem oberen KC-Band öffnet
(KC) Bar opens below Upper band;(KC) Kerze öffnet unter dem oberen Band
Bar opens below Keltner Channel(#Period#, #Deviation#).Upper;Kerze öffnet unter Keltner Channel(#Period#, #Deviation#).Upper
Is triggered if Bar opens below KC Upper band after opened above;Wird ausgelöst, wenn die Kerze unter dem oberen KC-Band öffnet, nachdem sie darüber öffnete
(KC) Bar opens below Upper band after opened above;(KC) Kerzeöffnet unter dem oberen Band, nachdem sie darüber öffnete
Bar opens below Keltner Channel(#Period#, #Deviation#).Upper after opened above;Kerze öffnet unter Keltner Channel(#Period#, #Deviation#).Upper nachdem sie darüber öffnete
Is triggered if KC Lower band is falling;Wird ausgelöst, wenn das untere KC-Band fällt
(KC) Lower band is falling;(KC) Unteres Band fällt
Keltner Channel(#Period#, #Deviation#).Lower is falling;Keltner Channel(#Period#, #Deviation#).Lower fällt
Is triggered if KC Lower band is rising;Wird ausgelöst, wenn das untere KC-Band steigt
(KC) Lower band is rising;(KC) Unteres Band steigt
Keltner Channel(#Period#, #Deviation#).Lower is rising;Keltner Channel(#Period#, #Deviation#).Lower steigt
Is triggered if KC Upper band is falling;Wird ausgelöst, wenn das obere KC-Band fällt
(KC) Upper band is falling;(KC) Oberes Band fällt
Keltner Channel(#Period#, #Deviation#).Upper is falling;Keltner Channel(#Period#, #Deviation#).Upper fällt
Is triggered if KC Upper band is rising;Wird ausgelöst, wenn das obere KC-Band steigt
(KC) Upper band is rising;(KC) Oberes Band steigt
Keltner Channel(#Period#, #Deviation#).Upper is rising;Keltner Channel(#Period#, #Deviation#).Upper steigt
(KC) Keltner Channel;(KC) Keltner Channel
Keltner Channel(#Period#, #Deviation#).#Line#[#Shift#];Keltner Channel(#Period#, #Deviation#).#Line#[#Shift#]
(LinReg) Linear Regression;(LinReg) Lineare Regression
LinReg(#Period#)[#Shift#];LinReg(#Period#)[#Shift#]
(LinReg) Bar closes above LinReg;(LinReg) Kerze schließt über LinReg
Bar closes above LinReg(#Period#);Kerze schließt über LinReg(#Period#)
(LinReg) Bar closes below LinReg;(LinReg) Kerze schließt unter LinReg
Bar closes below LinReg(#Period#);Kerze schließt unter LinReg(#Period#)
(LinReg) Bar opens above LinReg;(LinReg) Kerze öffnet über LinReg
Bar opens above LinReg(#Period#);Kerze öffnet über LinReg(#Period#)
(LinReg) Bar opens above LinReg after opened below;(LinReg) Kerze öffnet über LinReg, nachdem sie darunter öffnete
Bar opens above LinReg(#Period#) after opened below;Kerze öffnet über LinReg(#Period#) nachdem sie darunter öffnete
(LinReg) Bar opens below LinReg;(LinReg) Kerze öffnet unter LinReg
Bar opens below LinReg(#Period#);Kerze öffnet unter LinReg(#Period#)
(LinReg) Bar opens below LinReg after opened above;(LinReg) Kerze öffnet unter LinReg nachdem sie darüber öffnete
Bar opens below LinReg(#Period#) after opened above;Kerze öffnet unter LinReg(#Period#) nachdem sie darüber öffnete
Is triggered if LinReg is falling;Wird ausgelöst, wenn LinReg fällt
(LinReg) LinReg is falling;(LinReg) LinReg fällt
LinReg(#Period#) is falling;LinReg(#Period#) fällt
Is triggered if LinReg is rising;Wird ausgelöst, wenn LinReg steigt
(LinReg) LinReg is rising;(LinReg) LinReg steigt
LinReg(#Period#) is rising;LinReg(#Period#) steigt
(MACD) MACD;(MACD) MACD
MACD(#Fast#, #Slow#, #Smooth#).#Line#[#Shift#];MACD(#Fast#, #Slow#, #Smooth#).#Line#[#Shift#]
Is triggered if MACD Main changes direction downwards;Wird ausgelöst, wenn die MACD-Hauptlinie die Richtung nach unten ändert
(MACD) MACD Main line changes direction downwards;(MACD) MACD Hauptlinie ändert die Richtung nach unten
MACD(#Fast#, #Slow#, #Smooth#).Main changes direction downwards;MACD(#Fast#, #Slow#, #Smooth#).Main ändert die Richtung nach unten
Is triggered if MACD Main changes direction upwards;Wird ausgelöst, wenn die MACD-Hauptlinie die Richtung nach oben ändert
(MACD) MACD Main line changes direction upwards;(MACD) MACD-Hauptlinie ändert die Richtung nach oben
MACD(#Fast#, #Slow#, #Smooth#).Main changes direction upwards;MACD(#Fast#, #Slow#, #Smooth#).Main ändert die Richtung nach oben
(MACD) MACD Main line crosses above Level;(MACD) MACD Hauptlinie kreuzt die Ebene nach oben
MACD(#Fast#, #Slow#, #Smooth#).Main crosses above #Level#;MACD(#Fast#, #Slow#, #Smooth#).Main kreuzt die Ebene #Level# nach oben
(MACD) MACD Main line crosses above Signal;(MACD) MACD Hauptlinie kreuzt das Signal nach oben
MACD(#Fast#, #Slow#, #Smooth#).Main crosses above MACD.Signal;MACD(#Fast#, #Slow#, #Smooth#).Main kreuzt MACD.Signal nach oben
(MACD) MACD Main line crosses above 0;(MACD) MACD Hauptlinie kreuzt über 0
MACD(#Fast#, #Slow#, #Smooth#).Main crosses above 0;MACD(#Fast#, #Slow#, #Smooth#).Main kreuzt über 0
(MACD) MACD Main line crosses below Level;(MACD) MACD Hauptlinie kreuzt die Ebene nach unten
MACD(#Fast#, #Slow#, #Smooth#).Main crosses below #Level#;MACD(#Fast#, #Slow#, #Smooth#).Main kreuzt die Ebene #Level# nach unten
(MACD) MACD Main line crosses below Signal;(MACD) MACD Hauptlinie kreuzt das Signal nach unten
MACD(#Fast#, #Slow#, #Smooth#).Main crosses below MACD.Signal;MACD(#Fast#, #Slow#, #Smooth#).Main kreuzt MACD.Signal nach unten
(MACD) MACD Main line crosses below 0;(MACD) MACD Hauptlinie kreuzt unter 0
MACD(#Fast#, #Slow#, #Smooth#).Main crosses below 0;MACD(#Fast#, #Slow#, #Smooth#).Main kreuzt unter 0
Is triggered if MACD Main is falling;Wird ausgelöst, wenn MACD-Hauptlinie fällt
(MACD) MACD Main line is falling;(MACD) MACD-Hauptlinie fällt
MACD(#Fast#, #Slow#, #Smooth#).Main is falling;MACD(#Fast#, #Slow#, #Smooth#).Main fällt
(MACD) MACD Main line is higher than Level;(MACD) MACD-Hauptlinie ist höher als die Ebene
MACD(#Fast#, #Slow#, #Smooth#).Main > #Level#;MACD(#Fast#, #Slow#, #Smooth#).Main > #Level#
(MACD) MACD Main line is higher than Signal;(MACD) MACD-Hauptlinie ist höher als das Signal
MACD(#Fast#, #Slow#, #Smooth#).Main > MACD.Signal;MACD(#Fast#, #Slow#, #Smooth#).Main > MACD.Signal
(MACD) MACD Main line is higher than 0;(MACD) MACD-Hauptlinie ist höher als 0
MACD(#Fast#, #Slow#, #Smooth#).Main > 0;MACD(#Fast#, #Slow#, #Smooth#).Main > 0
(MACD) MACD Main line is lower than Level;(MACD) MACD-Hauptlinie ist niedriger als die Ebene
MACD(#Fast#, #Slow#, #Smooth#).Main < #Level#;MACD(#Fast#, #Slow#, #Smooth#).Main < #Level#
